Step,Time[ms],homGroupTrue,homGroupFalse,agreeTrue,hetGroup,voteFalse,agreeFalse,voteTrue
316,"0,0006976194",0,0,2122,7,37,1382,63
317,"0,0006991617",0,0,2132,7,37,1390,63
318,"0,0007002822",0,0,2122,7,37,1382,63
319,"0,0007046256",0,0,2132,7,37,1390,63
320,"0,0007059676",0,0,2122,7,37,1382,63
321,"0,0007079197",0,0,2132,7,37,1390,63
322,"0,0007096386",0,0,2122,7,37,1382,63
323,"0,000713812",0,0,2132,7,37,1390,63
324,"0,0007162143",0,0,2122,7,37,1382,63
325,"0,0007282779",0,0,2132,7,37,1390,63
326,"0,0007293723",0,0,2122,7,37,1382,63
327,"0,0007300824",0,0,2132,7,37,1390,63
328,"0,0007330886",0,0,2122,7,37,1382,63
329,"0,000734395",0,0,2132,7,37,1390,63
330,"0,0007349105",0,0,2122,7,37,1382,63
331,"0,0007349496",0,0,2132,7,37,1390,63
332,"0,000741564",0,0,2122,7,37,1382,63
333,"0,0007419319",0,0,2132,7,37,1390,63
334,"0,0007431031",0,0,2122,7,37,1382,63
335,"0,0007464232",0,0,2132,7,37,1390,63
336,"0,0007467654",0,0,2122,7,37,1382,63
337,"0,000746924",0,0,2132,7,37,1390,63
338,"0,0007487617",0,0,2122,7,37,1382,63
339,"0,0007495706",0,0,2132,7,37,1390,63
340,"0,0007509326",0,0,2122,7,37,1382,63
341,"0,0007599449",0,0,2165,7,38,1486,62
342,"0,0007604814",0,0,2174,7,38,1496,62
343,"0,0007605087",0,0,2180,7,38,1516,62
344,"0,0007610163",0,0,2171,7,38,1504,62
345,"0,0007619665",0,0,2180,7,38,1516,62
346,"0,0007660023",0,0,2171,7,38,1504,62
347,"0,0007666579",0,0,2180,7,38,1516,62
348,"0,0007666889",0,0,2171,7,38,1504,62
349,"0,0007668085",0,0,2180,7,38,1516,62
350,"0,0007692138",0,0,2171,7,38,1504,62
351,"0,0007695773",0,0,2180,7,38,1516,62
352,"0,0007753508",0,0,2171,7,38,1504,62
353,"0,0007760887",0,0,2180,7,38,1516,62
354,"0,0007762342",0,0,2171,7,38,1504,62
355,"0,0007763483",0,0,2180,7,38,1516,62
356,"0,0007768966",0,0,2171,7,38,1504,62
357,"0,0007809426",0,0,2180,7,38,1516,62
358,"0,0007834437",0,0,2171,7,38,1504,62
359,"0,0007851421",0,0,2180,7,38,1516,62
360,"0,0007874491",0,0,2171,7,38,1504,62
361,"0,000787546",0,0,2180,7,38,1516,62
362,"0,0007876011",0,0,2171,7,38,1504,62
363,"0,0007910644",0,0,2180,7,38,1516,62
364,"0,0007938757",0,0,2171,7,38,1504,62
365,"0,0007976099",0,0,2180,7,38,1516,62
366,"0,0007983276",0,0,2171,7,38,1504,62
367,"0,00080167",0,0,2180,7,38,1516,62
368,"0,0008022943",0,0,2171,7,38,1504,62
369,"0,0008049416",0,0,2180,7,38,1516,62
370,"0,0008059458",0,0,2171,7,38,1504,62
371,"0,0008073744",0,0,2180,7,38,1516,62
372,"0,0008073802",0,0,2171,7,38,1504,62
373,"0,00080933",0,0,2180,7,38,1516,62
374,"0,0008102065",0,0,2171,7,38,1504,62
375,"0,0008162789",0,0,2180,7,38,1516,62
376,"0,0008179222",0,0,2171,7,38,1504,62
377,"0,0008181472",0,0,2180,7,38,1516,62
378,"0,0008181879",0,0,2171,7,38,1504,62
379,"0,0008192109",0,0,2180,7,38,1516,62
380,"0,0008203213",0,0,2171,7,38,1504,62
381,"0,0008283578",0,0,2180,7,38,1516,62
382,"0,00082983",0,0,2171,7,38,1504,62
383,"0,0008307147",0,0,2180,7,38,1516,62
384,"0,0008308163",0,0,2171,7,38,1504,62
385,"0,0008330813",0,0,2180,7,38,1516,62
386,"0,0008336519",0,0,2171,7,38,1504,62
387,"0,0008337344",0,0,2180,7,38,1516,62
388,"0,0008346366",0,0,2171,7,38,1504,62
389,"0,0008347462",0,0,2180,7,38,1516,62
390,"0,0008375306",0,0,2171,7,38,1504,62
391,"0,0008392906",0,0,2180,7,38,1516,62
392,"0,0008392936",0,0,2171,7,38,1504,62
393,"0,0008424222",0,0,2180,7,38,1516,62
394,"0,0008441362",0,0,2171,7,38,1504,62
395,"0,0008441643",0,0,2180,7,38,1516,62
396,"0,0008448379",0,0,2171,7,38,1504,62
397,"0,0008452562",0,0,2180,7,38,1516,62
398,"0,0008579338",0,0,2171,7,38,1504,62
399,"0,0008623164",0,0,2180,7,38,1516,62
400,"0,0008641486",0,0,2171,7,38,1504,62
401,"0,0008646266",0,0,2180,7,38,1516,62
402,"0,0008652093",0,0,2171,7,38,1504,62
403,"0,0008652667",0,0,2180,7,38,1516,62
404,"0,0008682129",0,0,2171,7,38,1504,62
405,"0,0008683712",0,0,2180,7,38,1516,62
406,"0,0008700882",0,0,2171,7,38,1504,62
407,"0,0008733403",0,0,2180,7,38,1516,62
408,"0,0008753197",0,0,2171,7,38,1504,62
409,"0,0008774466",0,0,2180,7,38,1516,62
410,"0,0008780945",0,0,2171,7,38,1504,62
411,"0,0008821359",0,0,2180,7,38,1516,62
412,"0,0008849657",0,0,2171,7,38,1504,62
413,"0,0008866782",0,0,2180,7,38,1516,62
414,"0,0008887047",0,0,2171,7,38,1504,62
415,"0,0008894503",0,0,2180,7,38,1516,62
